Arabic	English
اذا الواحد يستخدم الفلوس بحمكه يكدر يسوي كومه اشياء.	if wisely used, money can do much.
عمرك رايح المكسيك؟	have you ever been to mexico?
فكرنا انه طبيعي لازم يتعاقب.	we thought that it was natural that he should be punished.
لازم تترك الامور تاخذ مجراها الطبيعي.	you must let things take their own course.
لا يريدون استخ.	they don't want to use it.
مقبلت تحجي شي اكثر عن الموضوع.	she declined to say more about it.
هذا القرار نهائي.	this decision is final.
وجدت مقعدا لي.	i found myself a seat.
ابقي ايجابي	stay positive.
ابقي هناك	stay there.
استجمع شجاعتك و قل الحقيقه .	summon up your courage and tell the truth.
استدعي توم للمثول أمام المحكمه .	tom was summoned to appear in court.
استدعي للمثول أمام المحكمه	he was summoned to appear in court.
أفترض ذلك .	i assume so.
الحياه إما أن تكون مغامره جريئه أو لا شيء .	life is either a daring adventure or nothing.
أنا لا أحتاجك بعد الأن	i no longer need you
إنت من وين؟	where are you from?
إنتي شنو قاعده تسوين؟	what are you doing?
إنزين.	okay.
انها مجموعه من التناقضات	it's a bundle of contradictions.
إي	yes.
أي ساعه؟	what time?
اي شي!	whatever!
بوضوح .	obviously.
توم مش كبير في السن.	tom isn't very old.
توم وماري يجب ان يبقوا يقضين	tom and mary should both have stayed awake.
جرب أشياء جديده أو صعبه , كن مغامرا .	try new or difficult things, be adventurous.
حتي أنا.	me, too.
حفر حفره عميه .	dig a deep hole.
راح أروح.	i'm going to go.
سوف تبقي هنا حتي يتم استدعاؤك .	you will remain here until you are summoned.
شخبارج؟	how are you?
شخبارك؟	how are you?
شنو صار؟	what happened?
شنو قاعد تسوي؟	what are you doing?
شو اسمك؟	what's your name?
صج؟	really?
قوه!	hello!
كان مدرس رياضيات.	he was a math teacher.
لا تفترض ذلك أبدا .	never assume that.
لا رعب جديد سيكون أكثر فظاعه من التعذيب اليومي الشائع .	no new horror can be more terrible than the daily torture of the commonplace.
لازم أشوفها.	i have to see her.
ليش تسأل؟	why do you ask?
مشكوره!	thanks!
مغامره جديره بالاهتمام .	adventure is worthwhile.
من الواضح انه يكذب .	obviously, he is lying.
منو؟	who?
هذا الحجر يزن خمسه اطنان	this stone weighs five tons.
هذا شائع \\ مألوف .	that's commonplace.
هذا كتاب جدير بالاهتمام .	this is a worthwhile book.
هذه محاوله جديره بالاهتمام .	this is a worthwhile endeavor.
والله؟	seriously?
وينج؟	where are you?
انا بشغل معك.	i'm working with you.
بكرا منشوف شو بدنا نعمل	tomorrow we'll see what we want to do.
توم بيفهم اللي انت ما بتفهمه.	tom understands what you don't.
توم يفهم ما لا تفهمه.	tom understands what you don't.
عندي قاموس منيح.	i have a good dictionary.
كم مدرسه في بمدينتك؟	how many schools are there in your city?
كيفك؟	how are you?
مرحبا. كيفك؟	hi. how are you doing?
هيدي‎ تفاحه جون.	it's john's apple.
يا الله، فرجينا شو بتعرف تعمل	go on, show us what you can do.
Ahla w sahla.	welcome.
Ana beru7 3a Mesr shahrèn.	i'm going to egypt for two months.
97% من مياه غزه ملوثه.	97% of gaza's water is contaminated.
أأريتها والديك؟	did you show it to your parents?
